SA1_7DIG16,LGA_NAME17,MetroMelbourne
2115615,Manningham (C),Greater Melbourne
2115616,Manningham (C),Greater Melbourne
2115617,Manningham (C),Greater Melbourne
2115618,Manningham (C),Greater Melbourne
2115619,Manningham (C),Greater Melbourne
2115620,Manningham (C),Greater Melbourne
2115621,Manningham (C),Greater Melbourne
2115622,Manningham (C),Greater Melbourne
2115623,Manningham (C),Greater Melbourne
2115624,Manningham (C),Greater Melbourne
2115625,Manningham (C),Greater Melbourne
2115626,Manningham (C),Greater Melbourne
2115627,Manningham (C),Greater Melbourne
2115628,Manningham (C),Greater Melbourne
2115701,Manningham (C),Greater Melbourne
2115702,Manningham (C),Greater Melbourne
2123519,Macedon Ranges (S),Greater Melbourne
2123520,Macedon Ranges (S),Greater Melbourne
2123521,Macedon Ranges (S),Greater Melbourne
2115601,Manningham (C),Greater Melbourne
2115602,Manningham (C),Greater Melbourne
2115603,Manningham (C),Greater Melbourne
2115604,Manningham (C),Greater Melbourne
2115605,Manningham (C),Greater Melbourne
2115607,Manningham (C),Greater Melbourne
2115608,Manningham (C),Greater Melbourne
2115609,Manningham (C),Greater Melbourne
2115610,Manningham (C),Greater Melbourne
2115611,Manningham (C),Greater Melbourne
2115612,Manningham (C),Greater Melbourne
2115613,Manningham (C),Greater Melbourne
2115614,Manningham (C),Greater Melbourne
2115719,Manningham (C),Greater Melbourne
2115720,Manningham (C),Greater Melbourne
2115721,Manningham (C),Greater Melbourne
2115722,Manningham (C),Greater Melbourne
2115723,Manningham (C),Greater Melbourne
2115724,Manningham (C),Greater Melbourne
2115725,Manningham (C),Greater Melbourne
2115726,Manningham (C),Greater Melbourne
2115727,Manningham (C),Greater Melbourne
2115728,Manningham (C),Greater Melbourne
2115729,Manningham (C),Greater Melbourne
2115730,Manningham (C),Greater Melbourne
2115731,Manningham (C),Greater Melbourne
2115732,Manningham (C),Greater Melbourne
2115733,Manningham (C),Greater Melbourne
2115734,Manningham (C),Greater Melbourne
2115703,Manningham (C),Greater Melbourne
2115704,Manningham (C),Greater Melbourne
2115705,Manningham (C),Greater Melbourne
2115706,Manningham (C),Greater Melbourne
2115707,Manningham (C),Greater Melbourne
2115708,Manningham (C),Greater Melbourne
2115709,Manningham (C),Greater Melbourne
2115710,Manningham (C),Greater Melbourne
2115711,Manningham (C),Greater Melbourne
2115712,Manningham (C),Greater Melbourne
2115713,Manningham (C),Greater Melbourne
2115714,Manningham (C),Greater Melbourne
2115715,Manningham (C),Greater Melbourne
2115716,Manningham (C),Greater Melbourne
2115717,Manningham (C),Greater Melbourne
2115718,Manningham (C),Greater Melbourne
2123224,Macedon Ranges (S),Greater Melbourne
2123225,Macedon Ranges (S),Greater Melbourne
2123226,Macedon Ranges (S),Greater Melbourne
2123227,Macedon Ranges (S),Greater Melbourne
2123228,Macedon Ranges (S),Greater Melbourne
2123229,Macedon Ranges (S),Greater Melbourne
2123230,Macedon Ranges (S),Greater Melbourne
2123231,Macedon Ranges (S),Greater Melbourne
2123232,Macedon Ranges (S),Greater Melbourne
2123301,Macedon Ranges (S),Greater Melbourne
2123302,Macedon Ranges (S),Greater Melbourne
2123303,Macedon Ranges (S),Greater Melbourne
2123304,Macedon Ranges (S),Greater Melbourne
2123305,Macedon Ranges (S),Greater Melbourne
2123306,Macedon Ranges (S),Greater Melbourne
2123307,Macedon Ranges (S),Greater Melbourne
2123208,Macedon Ranges (S),Greater Melbourne
2123209,Macedon Ranges (S),Greater Melbourne
2123210,Macedon Ranges (S),Greater Melbourne
2123211,Macedon Ranges (S),Greater Melbourne
2123212,Macedon Ranges (S),Greater Melbourne
2123213,Macedon Ranges (S),Greater Melbourne
2123214,Macedon Ranges (S),Greater Melbourne
2123215,Macedon Ranges (S),Greater Melbourne
2123216,Macedon Ranges (S),Greater Melbourne
2123217,Macedon Ranges (S),Greater Melbourne
2123218,Macedon Ranges (S),Greater Melbourne
2123219,Macedon Ranges (S),Greater Melbourne
2123220,Macedon Ranges (S),Greater Melbourne
2123221,Macedon Ranges (S),Greater Melbourne
2123222,Macedon Ranges (S),Greater Melbourne
2123223,Macedon Ranges (S),Greater Melbourne
2123505,Macedon Ranges (S),Greater Melbourne
2123506,Macedon Ranges (S),Greater Melbourne
2123507,Macedon Ranges (S),Greater Melbourne
2123508,Macedon Ranges (S),Greater Melbourne
2123509,Macedon Ranges (S),Greater Melbourne
2123510,Macedon Ranges (S),Greater Melbourne
2123511,Macedon Ranges (S),Greater Melbourne
2123512,Macedon Ranges (S),Greater Melbourne
2123513,Macedon Ranges (S),Greater Melbourne
2123514,Macedon Ranges (S),Greater Melbourne
2123514,Macedon Ranges (S),Greater Melbourne
2123515,Macedon Ranges (S),Greater Melbourne
2123516,Macedon Ranges (S),Greater Melbourne
2123517,Macedon Ranges (S),Greater Melbourne
2123518,Macedon Ranges (S),Greater Melbourne
2123519,Macedon Ranges (S),Greater Melbourne
2123308,Macedon Ranges (S),Greater Melbourne
2123309,Macedon Ranges (S),Greater Melbourne
2123310,Macedon Ranges (S),Greater Melbourne
2123401,Macedon Ranges (S),Greater Melbourne
2123402,Macedon Ranges (S),Greater Melbourne
2123403,Macedon Ranges (S),Greater Melbourne
2123404,Macedon Ranges (S),Greater Melbourne
2123405,Macedon Ranges (S),Greater Melbourne
2123406,Macedon Ranges (S),Greater Melbourne
2123407,Macedon Ranges (S),Greater Melbourne
2123408,Macedon Ranges (S),Greater Melbourne
2123409,Macedon Ranges (S),Greater Melbourne
2123501,Macedon Ranges (S),Greater Melbourne
2123502,Macedon Ranges (S),Greater Melbourne
2123503,Macedon Ranges (S),Greater Melbourne
2123504,Macedon Ranges (S),Greater Melbourne
2116025,Manningham (C),Greater Melbourne
2116026,Manningham (C),Greater Melbourne
2116027,Manningham (C),Greater Melbourne
2116028,Manningham (C),Greater Melbourne
2116029,Manningham (C),Greater Melbourne
2116030,Manningham (C),Greater Melbourne
2116031,Manningham (C),Greater Melbourne
2116032,Manningham (C),Greater Melbourne
2116033,Manningham (C),Greater Melbourne
2142401,Manningham (C),Greater Melbourne
2142402,Manningham (C),Greater Melbourne
2142403,Manningham (C),Greater Melbourne
2142404,Manningham (C),Greater Melbourne
2142405,Manningham (C),Greater Melbourne
2142406,Manningham (C),Greater Melbourne
2142407,Manningham (C),Greater Melbourne
2116009,Manningham (C),Greater Melbourne
2116010,Manningham (C),Greater Melbourne
2116011,Manningham (C),Greater Melbourne
2116012,Manningham (C),Greater Melbourne
2116013,Manningham (C),Greater Melbourne
2116014,Manningham (C),Greater Melbourne
2116015,Manningham (C),Greater Melbourne
2116016,Manningham (C),Greater Melbourne
2116017,Manningham (C),Greater Melbourne
2116018,Manningham (C),Greater Melbourne
2116019,Manningham (C),Greater Melbourne
2116020,Manningham (C),Greater Melbourne
2116021,Manningham (C),Greater Melbourne
2116022,Manningham (C),Greater Melbourne
2116023,Manningham (C),Greater Melbourne
2116024,Manningham (C),Greater Melbourne
2142424,Manningham (C),Greater Melbourne
2142425,Manningham (C),Greater Melbourne
2142426,Manningham (C),Greater Melbourne
2142427,Manningham (C),Greater Melbourne
2142428,Manningham (C),Greater Melbourne
2142429,Manningham (C),Greater Melbourne
2142430,Manningham (C),Greater Melbourne
2142431,Manningham (C),Greater Melbourne
2142432,Manningham (C),Greater Melbourne
2142433,Manningham (C),Greater Melbourne
2142434,Manningham (C),Greater Melbourne
2142501,Manningham (C),Greater Melbourne
2142502,Manningham (C),Greater Melbourne
2142503,Manningham (C),Greater Melbourne
2142504,Manningham (C),Greater Melbourne
2142505,Manningham (C),Greater Melbourne
2142408,Manningham (C),Greater Melbourne
2142409,Manningham (C),Greater Melbourne
2142410,Manningham (C),Greater Melbourne
2142411,Manningham (C),Greater Melbourne
2142412,Manningham (C),Greater Melbourne
2142413,Manningham (C),Greater Melbourne
2142414,Manningham (C),Greater Melbourne
2142415,Manningham (C),Greater Melbourne
2142416,Manningham (C),Greater Melbourne
2142417,Manningham (C),Greater Melbourne
2142418,Manningham (C),Greater Melbourne
2142419,Manningham (C),Greater Melbourne
2142420,Manningham (C),Greater Melbourne
2142421,Manningham (C),Greater Melbourne
2142422,Manningham (C),Greater Melbourne
2142423,Manningham (C),Greater Melbourne
2115905,Manningham (C),Greater Melbourne
2115906,Manningham (C),Greater Melbourne
2115907,Manningham (C),Greater Melbourne
2115908,Manningham (C),Greater Melbourne
2115909,Manningham (C),Greater Melbourne
2115910,Manningham (C),Greater Melbourne
2115911,Manningham (C),Greater Melbourne
2115912,Manningham (C),Greater Melbourne
2115913,Manningham (C),Greater Melbourne
2115914,Manningham (C),Greater Melbourne
2115915,Manningham (C),Greater Melbourne
2115916,Manningham (C),Greater Melbourne
2115917,Manningham (C),Greater Melbourne
2115918,Manningham (C),Greater Melbourne
2115919,Manningham (C),Greater Melbourne
2115920,Manningham (C),Greater Melbourne
2115735,Manningham (C),Greater Melbourne
2115736,Manningham (C),Greater Melbourne
